subset	complexes	fraction_pct	method	replicate_type	replicate	pose_density_lt2_pct	coverage_k10_lt2_pct	median_best_rmsd_A	valid_fraction_pct	all_failed_complexes
Philips39	39		Vina	docking_repeat	2	4.871794871794872	23.076923076923077	3.82004587	74.35897435897436	10
Philips39	39		Vina	docking_repeat	3	5.384615384615385	28.205128205128204	4.07733038	76.92307692307693	9
Philips39	39		rDock	docking_repeat	1	11.025641025641026	25.64102564102564	3.27591705	100.0	0
Philips39	39		rDock	docking_repeat	2	13.333333333333334	23.076923076923077	3.24229478	100.0	0
Philips39	39		rDock	docking_repeat	3	14.102564102564102	25.64102564102564	3.27734346	100.0	0
Philips39	39		LeDock	docking_repeat	1	18.461538461538463	35.8974358974359	2.35422961	97.6923076923077	0
Philips39	39		LeDock	docking_repeat	2	20.76923076923077	41.02564102564102	2.32202394	97.94871794871794	0
Philips39	39		LeDock	docking_repeat	3	15.897435897435896	33.33333333333333	2.5814113	97.43589743589743	0
Philips39	39		PLANTS	docking_repeat	1	5.641025641025641	23.076923076923077	3.93938965	84.61538461538461	6
Philips39	39		PLANTS	docking_repeat	2	6.666666666666667	28.205128205128204	3.79956118	84.61538461538461	6
Philips39	39		PLANTS	docking_repeat	3	5.641025641025641	25.64102564102564	3.76792541	84.61538461538461	6
Philips39	39		AutoDock-GPU	docking_repeat	1	7.435897435897436	20.51282051282051	4.04808043	87.17948717948718	5
Philips39	39		AutoDock-GPU	docking_repeat	2	8.974358974358974	23.076923076923077	3.45240477	87.17948717948718	5
Philips39	39		AutoDock-GPU	docking_repeat	3	7.6923076923076925	17.94871794871795	3.70749639	87.17948717948718	5
