subset	fraction_pct	left	right	metric	difference_left_minus_right	ci95_low	ci95_high	unit	bootstrap_draws	resampling	ci_status	finite_bootstrap_draws
All128	50	Transfer-NonSurface	rDock	pose_density_lt2_pct	-14.218750000000002	-20.598958333333336	-8.203125	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	rDock	coverage_k10_lt2_pct	5.46875	-3.125	13.802083333333336	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	rDock	median_best_rmsd_A	-0.6573233484371936	-1.075542150810316	-0.11764184664247618	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	rDock	valid_fraction_pct	0.78125	0.0	2.34375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	LeDock	pose_density_lt2_pct	-13.854166666666666	-19.557291666666664	-8.333333333333334	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	LeDock	coverage_k10_lt2_pct	-2.6041666666666643	-11.458333333333336	5.989583333333336	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	LeDock	median_best_rmsd_A	0.06103819322947279	-0.27559617022637356	0.39460759425078423	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	LeDock	valid_fraction_pct	6.276041666666671	3.0208333333333286	10.0	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	PLANTS	pose_density_lt2_pct	3.489583333333333	0.8326822916666662	6.197916666666666	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	PLANTS	coverage_k10_lt2_pct	5.46875	-2.6041666666666643	13.802083333333336	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	PLANTS	median_best_rmsd_A	-1.2054369734371937	-1.7637396280528004	-0.4663766073915051	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	PLANTS	valid_fraction_pct	10.15625	5.46875	15.625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	AutoDock-GPU	pose_density_lt2_pct	-0.49479166666666785	-4.21875	3.020833333333332	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	AutoDock-GPU	coverage_k10_lt2_pct	8.59375	0.5208333333333286	16.40625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	AutoDock-GPU	median_best_rmsd_A	-0.6625240417705269	-1.208289209175108	-0.267023172612072	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-NonSurface	AutoDock-GPU	valid_fraction_pct	4.6875	1.5625	8.59375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	100	Transfer-All	Vina	pose_density_lt2_pct	11.25	7.760416666666667	15.0	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	100	Transfer-All	Vina	coverage_k10_lt2_pct	21.614583333333336	12.5	30.46875	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	100	Transfer-All	Vina	median_best_rmsd_A	-1.4617427879100764	-2.1541120634534847	-0.6036339265013517	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	100	Transfer-All	Vina	valid_fraction_pct	17.1875	10.9375	23.69791666666667	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	100	Transfer-All	rDock	pose_density_lt2_pct	-7.5	-14.192708333333332	-1.067057291666675	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
