benchmark_set	population	metric	top_n	n_complexes	total_pose_slots	near_native_pose_count	mean_near_native_poses_per_complex	rankable_complex_count	permutations	permutation_seed	estimate	estimate_pct	mean_success_count	randomization_p025	randomization_p975	analytic_expectation	mc_minus_analytic
Philips39	full	topn_success_rate	5	39	1560	263	6.743589743589744	23	10000	20260906	0.3905	39.050000000000004	15.2295	0.3076923076923077	0.48717948717948717	0.39034662971909934	0.0001533702809006776
Philips39	full	topn_success_rate	6	39	1560	263	6.743589743589744	23	10000	20260906	0.41806923076923075	41.80692307692308	16.3047	0.3333333333333333	0.5128205128205128	0.4176454048923684	0.0004238258768623493
Philips39	full	topn_success_rate	7	39	1560	263	6.743589743589744	23	10000	20260906	0.4409282051282052	44.092820512820516	17.1962	0.358974358974359	0.5128205128205128	0.4405049387783372	0.00042326634986800116
Philips39	full	topn_success_rate	8	39	1560	263	6.743589743589744	23	10000	20260906	0.46032307692307695	46.0323076923077	17.9526	0.38461538461538464	0.5384615384615384	0.4598785426601573	0.00044453426291962694
Philips39	full	topn_success_rate	9	39	1560	263	6.743589743589744	23	10000	20260906	0.47667692307692305	47.667692307692306	18.5904	0.38461538461538464	0.5641025641025641	0.4764342321052252	0.00024269097169787868
Philips39	full	topn_success_rate	10	39	1560	263	6.743589743589744	23	10000	20260906	0.4907846153846153	49.07846153846153	19.1406	0.41025641025641024	0.5641025641025641	0.4906717467177331	0.00011286866688220432
Philips39	full	mrr_first_lt2		39	1560	263	6.743589743589744	23	10000	20260906	0.2685323012031367			0.2025599546774296	0.3393918768197614	0.2691675706459526	-0.0006352694428158889
Philips39	full	ndcg_at_10		39	1560	263	6.743589743589744	23	10000	20260906	0.44750122678353155			0.40790790812079225	0.4882948189372023	0.4480136998068504	-0.0005124730233188601
Philips39	rankable_lt2	topn_success_rate	1	23	920	263	11.434782608695652	23	10000	20260906	0.2837086956521739	28.370869565217387	6.5253	0.13043478260869565	0.43478260869565216	0.2858695652173913	-0.002160869565217438
Philips39	rankable_lt2	topn_success_rate	2	23	920	263	11.434782608695652	23	10000	20260906	0.4365217391304348	43.65217391304348	10.040000000000001	0.30434782608695654	0.6086956521739131	0.43706800445930877	-0.0005462653288739738
Philips39	rankable_lt2	topn_success_rate	3	23	920	263	11.434782608695652	23	10000	20260906	0.5342913043478261	53.429130434782614	12.2887	0.391304347826087	0.6956521739130435	0.5341753212462594	0.00011598310156668568
Philips39	rankable_lt2	topn_success_rate	4	23	920	263	11.434782608695652	23	10000	20260906	0.6058608695652175	60.58608695652175	13.934800000000001	0.43478260869565216	0.782608695652174	0.6054991270094245	0.0003617425557929099
Philips39	rankable_lt2	topn_success_rate	5	23	920	263	11.434782608695652	23	10000	20260906	0.6621521739130435	66.21521739130435	15.2295	0.5217391304347826	0.8260869565217391	0.6618921112628207	0.0002600626502228254
Philips39	rankable_lt2	topn_success_rate	6	23	920	263	11.434782608695652	23	10000	20260906	0.7089	70.89	16.3047	0.5652173913043478	0.8695652173913043	0.7081813387305378	0.0007186612694621841
Philips39	rankable_lt2	topn_success_rate	7	23	920	263	11.434782608695652	23	10000	20260906	0.7476608695652174	74.76608695652173	17.1962	0.6086956521739131	0.8695652173913043	0.7469431570589196	0.0007177125062978185
Philips39	rankable_lt2	topn_success_rate	8	23	920	263	11.434782608695652	23	10000	20260906	0.7805478260869565	78.05478260869565	17.9526	0.6521739130434783	0.9130434782608695	0.779794050597658	0.0007537754892984472
Philips39	rankable_lt2	topn_success_rate	9	23	920	263	11.434782608695652	23	10000	20260906	0.8082782608695652	80.82782608695652	18.5904	0.6521739130434783	0.9565217391304348	0.8078667413958166	0.00041151947374862274
Philips39	rankable_lt2	topn_success_rate	10	23	920	263	11.434782608695652	23	10000	20260906	0.8322	83.22	19.140600000000003	0.6956521739130435	0.9565217391304348	0.8320086139996343	0.00019138600036572306
Philips39	rankable_lt2	mrr_first_lt2		23	920	263	11.434782608695652	23	10000	20260906	0.45533738030097093			0.34347122749651104	0.5754905737378563	0.4564145763127022	-0.001077196011731285
Philips39	rankable_lt2	ndcg_at_10		23	920	263	11.434782608695652	23	10000	20260906	0.4773588422402632			0.4302232586218013	0.5263155223788074	0.47789505825207934	-0.0005362160118161374
